timestamp,plot,type
1-1-2018 08:00,irr,h2o
1-1-2018 07:00,irr,h2o
1-1-2018 06:00,irr,h2o
3-1-2018 00:00,irr,h2o
3-1-2018 02:00,irr,h2o
3-1-2018 03:00,irr,h2o
3-1-2018 04:00,irr,h2o
3-1-2018 05:00,irr,h2o
3-1-2018 06:00,irr,h2o
3-1-2018 07:00,irr,h2o
3-1-2018 08:00,irr,h2o
3-1-2018 09:00,irr,h2o
3-1-2018 10:00,irr,h2o
3-1-2018 11:00,irr,h2o
3-1-2018 12:00,irr,h2o
3-1-2018 13:00,irr,h2o
3-1-2018 14:00,irr,h2o
3-1-2018 15:00,irr,h2o
3-1-2018 16:00,irr,h2o
3-1-2018 17:00,irr,h2o
3-1-2018 18:00,irr,h2o
3-1-2018 19:00,irr,h2o
3-1-2018 20:00,irr,h2o
3-1-2018 21:00,irr,h2o
3-1-2018 22:00,irr,h2o
3-1-2018 00:00,irr,co2
3-1-2018 01:00,irr,co2
3-1-2018 02:00,irr,co2
3-1-2018 03:00,irr,co2
3-1-2018 04:00,irr,co2
3-1-2018 05:00,irr,co2
26-3-2017 12:00,irr,co2
30-10-2017 15:00,irr,co2
25-12-2017 07:00,irr,co2
15-1-2018 12:00,irr,co2
21-2-2018 23:00,irr,co2
20-11-2018 15:00,irr,co2
20-11-2018 16:00,irr,co2
20-11-2018 17:00,irr,co2
20-11-2018 18:00,irr,co2
20-11-2018 19:00,irr,co2
20-11-2018 20:00,irr,co2
