timestamp,chamber,Counter,h2o.ambient.mmol_mol,co2.ambient.umol_mol,h2o.chamber.mmol_mol,co2.chamber.umol_mol,temp.irga.c,press.irga.kpa,flux.h2o.mmol_m2_s,flux.co2.umol_m2_s,par.current.chamber.umol_m2_s,pump.flow.chamber.lpm,pump.flow.ambient.lpm,rh.air.ambient,temp.air.ch1.c,temp.air.ch2.c,temp.air.ch3.c,temp.air.ch4.c,temp.air.ch5.c,temp.air.ch6.c,temp.air.ch7.c,temp.air.ambient.c,temp.air.ch9.c,temp.air.ch10.c,temp.air.ch11.c,temp.air.ch12.c,temp.air.ch13.c,temp.air.ch14.c,temp.air.ch15.c,temp.air.controlbox.c,par.ambient.umol_m2_s,vpd.air.ambient.kpa,vpd.air.chamber.kpa,temp.wall.ambient.c,temp.air.ambient.out.c,temp.air.current.chamber.c,rh.air.ambient.from_irga,rh.air.chamber,par.ch1.umol_m2_s,par.ch2.umol_m2_s,par.ch3.umol_m2_s,par.ch4.umol_m2_s,par.ch5.umol_m2_s,par.ch6.umol_m2_s,par.ch7.umol_m2_s,par.ch8.umol_m2_s,par.ch9.umol_m2_s,par.ch10.umol_m2_s,par.ch11.umol_m2_s,par.ch12.umol_m2_s,par.ch13.umol_m2_s,par.ch14.umol_m2_s,par.ch15.umol_m2_s,par.ch16.umol_m2_s,flux.h2o.proj_la.mmol_m2_s,flux.co2.proj_la.umol_m2_s,flux.h2o.active_la.mmol_m2_s,flux.co2.active_la.umol_m2_s,gs.mol_m2_s,gs.proj_la.umol_m2_s,gs.active_la.umol_m2_s,LE.W_m2,LE.proj_la.W_m2,LE.active_la.W_m2,H.W_m2
2020-09-25 00:11:56,16,235,20.02992,399.1135,,,33.33776,93.90232,,,,7.884481,7.785627,,18.04845,17.76121,18.20889,17.06777,18.02311,16.98314,18.15823,17.64289,26.88672,17.86261,17.13547,20.32353,17.6936,17.63444,17.16085,,0.0,0.13108697351748175,,,17.6767,17.64289,93.48455806066201,94.82097719539097,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:11:58,16,237,19.98902,400.2043,,,33.32412,93.89687,,,,7.921978,7.786991,,17.81984,17.87899,18.16615,16.92337,17.99725,16.86411,18.10705,17.64236,27.11008,17.76069,17.17725,20.15484,17.68463,17.57474,17.17725,,0.0,0.13496927543642187,,,17.64236,17.64236,93.29137101985881,94.46865476562321,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:32,10,211,20.31778,400.2354,,,33.32662,93.8979,,,,7.881663,7.801211,,18.06418,17.853,18.15707,17.22737,18.05574,16.96505,18.14863,17.87835,27.29181,18.06418,17.24429,20.5577,17.92059,17.7347,17.36271,,0.0,0.13421530120636477,,,17.7854,18.06418,93.42730161982067,87.97244904691287,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:34,10,213,20.34505,400.2899,,,33.32662,93.8979,,,,7.980525,7.836664,,18.04729,17.8192,18.21618,17.17661,18.05574,16.99044,18.14863,17.88679,27.22551,17.8023,17.25275,20.53249,17.93748,17.79385,17.37116,,0.0,0.13273980086153414,,,17.81075,17.8023,93.50301120122894,89.46550578339163,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:36,10,215,20.33142,400.1536,,,33.32662,93.8979,,,,7.956662,7.833937,,18.2415,17.7854,18.19929,17.12584,18.12329,16.93119,18.10641,17.88679,27.27523,17.90369,17.21891,20.49888,17.97972,17.77695,17.39654,,0.0,0.13401962923853397,,,17.82765,17.90369,93.440369622925,89.14662899581106,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:38,10,217,20.31778,399.4172,,,33.32662,93.8979,,,,7.888481,7.858482,,17.85164,17.82629,18.18104,17.20063,18.05437,16.84517,18.16415,17.91078,27.36505,18.01214,17.23447,20.53954,17.91923,17.71643,17.38672,,0.0,0.138387449892673,,,17.81784,18.01214,93.23680431757822,88.63381247768294,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:40,10,219,20.34505,399.799,,,33.32662,93.8979,,,,7.895299,7.847573,,18.06944,17.80757,18.213,17.13958,18.09478,16.91107,18.11167,17.89206,27.33012,18.36494,17.26648,20.56294,17.90051,17.78222,17.3849,,0.0,0.1334175988617128,,,17.80757,18.36494,93.47200184263748,86.99586468209466,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:42,10,221,20.31778,400.1536,,,33.32662,93.8979,,,,7.915753,7.806665,,17.91164,17.87785,18.25789,17.13381,18.09747,16.93069,18.13969,17.93699,27.39076,17.99612,17.26917,20.57402,17.9032,17.7511,17.43833,,0.0,0.14176484602452818,,,17.82716,17.99612,93.08316287361953,89.00321634667473,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:44,10,223,20.34505,399.3081,,,33.32662,93.8979,,,,7.912344,7.806665,,17.90233,17.78404,18.21481,17.05678,18.12193,16.89596,18.12193,17.91923,27.45618,18.02904,17.28522,20.54795,17.90233,17.71643,17.45437,,0.0,0.13691518019063778,,,17.80939,18.02904,93.31231332810155,88.88125308322152,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:46,10,225,20.34505,398.9809,,,33.32662,93.8979,,,,7.871436,7.776665,,17.8192,17.95438,18.2415,17.10892,18.13174,16.94812,18.08952,17.95438,27.34153,17.853,17.26967,20.46527,17.95438,17.8699,17.43036,,0.0,0.14144780419752329,,,17.8192,17.853,93.10617796196016,89.80835898856999,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:48,10,227,20.33142,399.7172,,,33.32662,93.8979,,,,7.902117,7.778029,,17.7516,17.91214,18.28371,17.21891,18.13174,16.96505,18.09796,17.91214,27.38296,18.00506,17.23583,20.41483,17.94593,17.853,17.41345,,0.0,0.13728181083132746,,,17.8192,18.00506,93.29141267727047,88.76657000093526,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25 00:15:50,10,229,20.35869,399.4717,,,33.32662,93.8979,,,,7.943025,7.802574,,17.91741,17.79067,18.25521,17.22419,18.12012,16.91107,18.10323,17.92585,27.25554,18.07789,17.22419,20.59655,17.92585,17.83292,17.3849,,0.0,0.136487396536887,,,17.82447,18.07789,93.33598514407822,88.60874333064203,,,,,,,,,,,,,,,,,,,,,,,,,,,
