timestamp,chamber,Counter,h2o.ambient.mmol_mol,co2.ambient.umol_mol,h2o.chamber.mmol_mol,co2.chamber.umol_mol,temp.irga.c,press.irga.kpa,flux.h2o.mmol_m2_s,flux.co2.umol_m2_s,par.current.chamber.umol_m2_s,pump.flow.chamber.lpm,pump.flow.ambient.lpm,rh.air.ambient,temp.air.ch1.c,temp.air.ch2.c,temp.air.ch3.c,temp.air.ch4.c,temp.air.ch5.c,temp.air.ch6.c,temp.air.ch7.c,temp.air.ambient.c,temp.air.ch9.c,temp.air.ch10.c,temp.air.ch11.c,temp.air.ch12.c,temp.air.ch13.c,temp.air.ch14.c,temp.air.ch15.c,temp.air.controlbox.c,par.ambient.umol_m2_s,vpd.air.ambient.kpa,vpd.air.chamber.kpa,temp.wall.ambient.c,temp.air.ambient.out.c,temp.air.current.chamber.c,rh.air.ambient.from_irga,rh.air.chamber,par.ch1.umol_m2_s,par.ch2.umol_m2_s,par.ch3.umol_m2_s,par.ch4.umol_m2_s,par.ch5.umol_m2_s,par.ch6.umol_m2_s,par.ch7.umol_m2_s,par.ch8.umol_m2_s,par.ch9.umol_m2_s,par.ch10.umol_m2_s,par.ch11.umol_m2_s,par.ch12.umol_m2_s,par.ch13.umol_m2_s,par.ch14.umol_m2_s,par.ch15.umol_m2_s,par.ch16.umol_m2_s,flux.h2o.proj_la.mmol_m2_s,flux.co2.proj_la.umol_m2_s,gs.mol_m2_s,gs.proj_la.umol_m2_s,LE.W_m2,LE.proj_la.W_m2,H.W_m2
2020-09-26 00:15:32,1,211,20.50624,397.0117,20.94276,398.0449,32.66819,93.73264,0.02210328900337685,0.06001876927181834,,7.686431,7.815278,,19.23507,19.26035,19.53837,18.89784,19.46256,18.77133,19.42886,21.63946,31.4767,20.16123,19.445710000000002,25.04909,19.740470000000002,19.79939,19.50468,,0.0,0.6565336167905853,0.26004383133340186,,19.43729,19.23507,74.53951615599392,72.49233007192755,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.06943953035318078,0.18855452462184535,0.007789211942329474,0.024470531015276163,0.977800544696881,3.0718510078958197,-3.592818448326019
2020-09-26 00:15:34,1,213,20.51987,396.1118,20.92913,397.1451,32.65455,93.73264,0.020623093967871337,0.05916980293539881,,7.648936999999999,7.813914,,19.32907,19.22795,19.59021,18.95819,19.45545,18.738889999999998,19.4386,21.64076,31.436890000000002,20.0111,19.447020000000002,25.13366,19.72493,19.84279,19.51441,,0.0,0.6554610011681484,0.2743704989584851,,19.46387,19.32907,74.58313260243517,72.01215907755135,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.06478936050375657,0.1858874182162047,0.006887659800589857,0.021638221429958835,0.9122373923542326,2.8658782901499666,-3.43737132093766
2020-09-26 00:15:36,1,215,20.50624,396.8208,20.88823,397.9086,32.64092,93.73264,0.019815679546793363,0.06313559516002218,,7.873906,7.777100999999999,,19.31791,19.22521,19.570629999999998,18.96388,19.46956,18.7699,19.402160000000002,21.60449,31.51639,19.78955,19.402160000000002,24.931079999999998,19.6801,19.78955,19.52852,,0.0,0.6510255265436854,0.2766514315703198,,19.45271,19.31791,74.69907686828978,71.89063589531908,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.06225279329009556,0.19834632193474497,0.006563630026268084,0.020620251871405197,0.8765318243889123,2.753705940137866,-3.5005079846773417
2020-09-26 00:15:38,1,217,20.50624,396.3572,20.860960000000002,397.745,32.66819,93.73264,0.01851092123605571,0.07827362593601617,,7.921626,7.736197,,19.3375,19.21109,19.556520000000003,18.91602,19.413320000000002,18.840120000000002,19.39647,21.64915,31.412229999999997,19.87646,19.4386,25.09202,19.72493,19.65758,19.53967,,0.0,0.6580617016027702,0.28193377647704804,,19.45545,19.3375,74.4953706571372,71.68878371989447,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.05815377416637191,0.24590384821042388,0.006016564343068019,0.018901594340032787,0.8188013596250191,2.572340336147294,-3.5594159656474083
2020-09-26 00:15:40,1,219,20.560779999999998,397.2298,20.820050000000002,398.0995,32.66819,93.73264,0.013530654598031041,0.04982905104968572,,7.921626,7.748467999999999,,19.17464,19.33476,19.536939999999998,18.862679999999997,19.41901,18.7699,19.36846,21.60449,31.475309999999997,20.13457,19.43586,25.031029999999998,19.71378,19.6801,19.50325,,0.0,0.6459133483580853,0.2631921137805582,,19.43586,19.17464,74.89775237644713,72.24642085740336,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.042507805083435275,0.15654258071304344,0.004711684018167065,0.014802191897510086,0.5986010240189084,1.8805605794891296,-3.742081465175792
2020-09-26 00:15:42,1,221,20.54714,396.139,20.820050000000002,397.0632,32.64092,93.72718,0.014291762700853257,0.05306561852257577,,7.948894999999999,7.748467999999999,,19.10995,19.26166,19.581789999999998,18.840120000000002,19.48914,18.78107,19.4049,21.674310000000002,31.49441,19.90171,19.36277,25.01708,19.72493,19.83437,19.47229,,0.0,0.6583115792685387,0.25439372315772174,,19.46387,19.10995,74.52489702328096,72.53409204297418,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.04489889670784922,0.1667105573087225,0.005148789523795461,0.016175399342835912,0.6323121059836809,1.9864670669342228,-3.961190847755037
2020-09-26 00:15:44,1,223,20.57441,396.848,20.806420000000003,398.3994,32.64092,93.73264,0.011989429589321579,0.08327920345959927,,7.843228,7.7757380000000005,,19.21821,19.369889999999998,19.521520000000002,18.75446,19.43729,18.77133,19.42886,21.656229999999997,31.35342,19.94248,19.42044,25.04909,19.71521,19.78256,19.50468,,0.0,0.6527889433408735,0.2704898970035647,,19.45414,19.21821,74.71067616717167,71.9930375661589,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.037665903918544755,0.26162933378548675,0.0040622482267337655,0.012761929186164958,0.5303944198776641,1.6662832129926894,-3.716472025953463
2020-09-26 00:15:46,1,225,20.58805,396.2209,20.79279,397.6904,32.65455,93.73264,0.010602880992437167,0.0787353830299024,,7.860271000000001,7.809824000000001,,19.20978,19.33619,19.53837,18.72071,19.45414,18.74602,19.38674,21.63107,31.115,20.11076,19.445710000000002,25.14069,19.706789999999998,19.790979999999998,19.49625,,0.0,0.6475429099894083,0.2706015560111889,,19.470979999999997,19.20978,74.87529221230498,71.97329509513624,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.03330993303272746,0.24735450090431987,0.0035910245288278916,0.011281536278626452,0.4690593934463746,1.4735935445484147,-3.6994007774088677
2020-09-26 00:15:48,1,227,20.58805,396.5481,20.785970000000002,398.0722,32.65455,93.73264,0.010191909711170047,0.08090943474754632,,7.815958,7.819367999999999,,19.243489999999998,19.23507,19.49625,18.68696,19.46256,18.77133,19.37831,21.63107,31.197229999999998,20.09393,19.403589999999998,25.03244,19.68153,19.69837,19.48783,,0.0,0.6475429099894083,0.27590631268447396,,19.470979999999997,19.243489999999998,74.87529221230498,71.79358479283549,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.03201882867466229,0.25418448580899433,0.003385393570633446,0.010635527571012151,0.45086385322942996,1.4164305690747638,-3.6273018963907604
2020-09-26 00:15:50,1,229,20.601679999999998,396.3845,20.77233,397.60859999999997,32.66819,93.73264,0.008948324840838944,0.06641237990562353,,7.959121000000001,7.827549,,19.19993,19.2842,19.49483,18.618029999999997,19.41901,18.73615,19.38531,21.61288,31.45066,19.78955,19.37689,25.031029999999998,19.7222,19.74746,19.45271,,0.0,0.6434002453840424,0.2711576938558901,,19.45271,19.19993,75.00824563159138,71.93101950499789,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.028111991581914682,0.2086406448189213,0.0030244914005282415,0.00950171996474503,0.3958674667364112,1.243654325294311,-3.7332746344592134
