timestamp,plot,dew,h2o.ambient.mmol_mol,co2.ambient.umol_mol,h2o.chamber.mmol_mol,co2.chamber.umol_mol,temp.irga.c,press.irga.kpa,flux.h2o.mmol_m2_s,flux.co2.umol_m2_s,par.current.chamber.umol_m2_s,pump.flow.chamber.lpm,pump.flow.ambient.lpm,rh.air.ambient,temp.air.ch1.c,temp.air.ch2.c,temp.air.ch3.c,temp.air.ch4.c,temp.air.ch5.c,temp.air.ch6.c,temp.air.ch7.c,temp.air.ambient.c,temp.air.ch9.c,temp.air.ch10.c,temp.air.ch11.c,temp.air.ch12.c,temp.air.ch13.c,temp.air.ch14.c,temp.air.ch15.c,temp.air.controlbox.c,par.ambient.umol_m2_s,vpd.air.ambient.kpa,vpd.air.chamber.kpa,temp.wall.ambient.c,temp.air.ambient.out.c,temp.air.current.chamber.c,rh.air.ambient.from_irga,rh.air.chamber,par.ch1.umol_m2_s,par.ch2.umol_m2_s,par.ch3.umol_m2_s,par.ch4.umol_m2_s,par.ch5.umol_m2_s,par.ch6.umol_m2_s,par.ch7.umol_m2_s,par.ch8.umol_m2_s,par.ch9.umol_m2_s,par.ch10.umol_m2_s,par.ch11.umol_m2_s,par.ch12.umol_m2_s,par.ch13.umol_m2_s,par.ch14.umol_m2_s,par.ch15.umol_m2_s,par.ch16.umol_m2_s,flux.h2o.proj_la.mmol_m2_s,flux.co2.proj_la.umol_m2_s,flux.h2o.active_la.mmol_m2_s,flux.co2.active_la.umol_m2_s,gs.mol_m2_s,gs.proj_la.umol_m2_s,gs.active_la.umol_m2_s,LE.W_m2,LE.proj_la.W_m2,LE.active_la.W_m2,H.W_m2,flux.h2o.n,flux.co2.n
2020-09-25 09:00:00,irrigation,False,19.41011387096774,397.45823118279554,,,33.59531505376342,93.88233451612903,,,,7.9370591290322565,7.84246264516129,,24.907642580645163,30.119583333333317,26.321028064516135,26.74518752688172,31.918466344086003,25.390967526881717,25.525517741935477,26.206189569892476,27.311937096774194,30.275695591397845,25.70883,27.662609247311828,25.32408344086022,27.190413870967742,29.441816236559138,,534.7279505376345,1.5749935113420384,,,25.102186666666654,28.71844387096774,53.93764647503478,58.63355939469735,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2020-09-25 10:00:00,ambient,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2020-09-25 10:00:00,ambient out,False,18.905082857142855,397.62742857142854,,,33.96019142857143,93.86690285714285,,,,7.894485571428571,7.8433053571428575,,26.39984357142857,32.117112142857145,25.264492142857144,29.56834571428572,33.47566214285714,27.711209999999998,30.90116,28.26512285714286,29.507781428571427,33.49261571428571,27.045893571428568,29.32091857142857,26.71113357142857,33.894549285714284,31.17380285714285,,1435.8582142857142,2.053167994757362,,,26.381457857142856,28.26512285714286,46.36147815230949,46.77108232235977,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2020-09-25 10:00:00,control,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2020-09-25 10:00:00,irrigation,False,18.58784066666667,397.7121333333333,,,33.89531866666666,93.87479666666668,,,,7.823026933333334,7.8086206,,25.88931266666666,30.183888000000003,24.781413999999998,30.38286933333334,32.66111599999999,27.874059333333335,28.071951333333338,27.020075333333335,28.28997866666667,32.490897333333336,25.796204,28.477816666666673,25.655403333333332,31.673004,30.50866333333333,,1095.0966,1.81451203965435,,,25.719666,30.38286933333334,49.02913738139169,40.140404204984186,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2020-09-25 11:00:00,ambient,False,18.029297692307694,,18.03250604853217,,34.68471846153845,93.78537000000003,1.8280012231024646e-05,,282.78762307692307,7.875166384615385,7.829336076923078,,28.080894615384615,27.52601769230769,26.78922923076923,26.750501538461542,30.83690846153846,27.903226153846155,35.159672307692304,31.179893846153846,30.59750538461538,32.84946307692308,30.45172846153846,31.98829846153846,31.294373076923076,37.23825000000001,33.90820461538462,,282.78762307692307,2.8353445205258967,2.835043638454074,,27.55024384615384,31.179893846153846,37.360024362119184,37.19911560605568,,,,,,,,,,,,,,,,,9.39883765945679e-05,,0.0006679516469216405,,-8.461574597545745e-09,-4.350596978854323e-08,-3.091859357943217e-07,0.0007990990655971262,0.004108641885164652,0.02919907985691899,,1.0,0.0
2020-09-25 11:00:00,control,False,17.799921999999995,396.9238846153846,,,34.77443630769232,93.78625861538465,,,,7.902524769230772,7.843308492307691,,27.871742769230764,27.566468769230774,26.799920769230773,27.772682923076925,30.574143846153856,27.41658276923077,34.04353753846154,30.668941846153842,31.05029246153847,32.60907569230768,29.76928076923077,31.903903230769224,31.171833230769227,37.613657384615394,34.25807892307691,,527.6289800000003,2.7338236127788815,,,27.47456169230769,34.99854646153847,38.03009634110958,31.930862137684976,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2020-09-25 11:00:00,irrigation,False,18.159909230769237,396.480551923077,,,34.50329596153849,93.79124903846149,,,,7.921688250000001,7.832279249999999,,27.49431134615385,27.54653576923075,26.53723173076923,27.34050192307693,30.823229423076917,27.180184230769235,35.817278461538464,31.400837884615385,30.28787576923077,32.82940307692308,29.611089038461543,31.387235192307685,29.955845576923075,36.77602038461539,33.43543596153846,,826.2407519230771,2.887553519163324,,,27.322540192307695,30.276107307692307,37.231305633032235,51.44517941727565,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2020-09-25 12:00:00,ambient,False,18.303169230769235,,18.31399949321267,,37.20004923076922,93.74337153846153,5.754269971356187e-05,,99.74819153846154,7.816792692307692,7.742737307692308,,29.52679692307692,28.54243,29.05101538461539,28.813893076923076,28.849592307692305,28.94494692307692,29.025022307692307,29.707685384615385,31.273829230769234,35.43331076923077,30.544670769230763,35.08892846153846,33.96112307692307,31.93197461538462,34.86861307692307,,99.74819153846154,2.445051659013979,2.4440363419600835,,28.89027153846154,29.707685384615385,41.24164382525338,40.8374218675552,,,,,,,,,,,,,,,,,0.0002958611221149732,,0.0021026102475335505,,-2.6626497147046534e-08,-1.3690260212208408e-07,-9.729322057530803e-07,0.002521679555017769,0.012965449074786943,0.09214217094034931,,1.0,0.0
2020-09-25 12:00:00,control,False,18.282213230769226,396.27528000000007,,,36.52919923076922,93.74916815384618,,,,7.838519523076925,7.80033909230769,,29.235049384615373,28.376677384615387,28.723347846153835,28.321529230769233,29.178264153846158,28.594197692307674,29.71288923076923,29.530254153846148,30.92217707692308,34.372973384615385,30.221913384615373,33.82221307692307,33.25362876923077,33.09410569230769,34.647006769230764,,109.10633138461534,2.405141411240396,,,28.443468000000014,33.70404076923077,41.624784771220384,33.50316557585772,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
